ID	ENA-RUN	nrow	Sequencing Panel	Sample ID (Illumina)	Sample ID (Collaborator)	Sample ID (SGDP)	Genetic sex assignment	Corrected sex assignmnet (KMT)	Population ID	Region	Country	Latitude	Longitude	Coverage (mean)	mtDNA haplogroup	Y haplogroup
ERS1255114	ERR1347731	151	C	LP6005443-DNA_G01	HGDP01335	S_She-1	XX	XX	She	EastAsia	China	27	119	48.79	M7b1'2'4'5'6'7'8	..
ERS1255106	ERR1347722	152	C	LP6005443-DNA_F01	HGDP01333	S_She-2	XY	XY	She	EastAsia	China	27	119	47.79	M7c1b	O3a2b1a
ERS1255068	ERR1347684	153	C	LP6005443-DNA_A07	CHI-007	S_Thai-1	XY	XY	Thai	EastAsia	Thailand	13.8	100.5	50.74	D4g2a1	O3a2c
ERS1255076	ERR1347692	154	C	LP6005443-DNA_B07	CHI-034	S_Thai-2	XX	XX	Thai	EastAsia	Thailand	13.8	100.5	45.61	F1a1	..
ERS1255122	ERR1347739	155	C	LP6005443-DNA_H01	HGDP01350	S_Tu-1	XY	XY	Tu	EastAsia	China	36	101	50.25	F1a1a	R1a1a1b2a1b
ERS1042173	ERR1019072,ERR1419131	156	C	LP6005441-DNA_D12	HGDP01355	S_Tu-2	XX	XX	Tu	EastAsia	China	36	101	38.48	D4h1	..
ERS1255065	ERR1347681	157	C	LP6005443-DNA_A02	HGDP01095	S_Tujia-1	XY	XY	Tujia	EastAsia	China	29	109	49.52	B4a	O2a1a
ERS1042278	ERR1025652,ERR1419149	158	C	LP6005441-DNA_F12	HGDP01098	S_Tujia-2	XX	XX	Tujia	EastAsia	China	29	109	39.15	A6	..
ERS1042281	ERR1025655,ERR1419178	159	C	LP6005442-DNA_B01	HGDP01306	S_Uygur-1	XX	XX	Uygur	EastAsia	China	44	81	38.65	U1a	..
ERS1255072	ERR1347688	160	C	LP6005443-DNA_B02	HGDP01297	S_Uygur-2	XY	XY	Uygur	EastAsia	China	44	81	50.3	M18a	R1a1a1b2a1a1
ERS1042282	ERR1025656,ERR1419190	161	C	LP6005442-DNA_D01	HGDP01250	S_Xibo-1	XY	XY	Xibo	EastAsia	China	43.5	81.5	36.61	C5d1	C3c1
ERS1255081	ERR1347697	162	C	LP6005443-DNA_C02	HGDP01246	S_Xibo-2	XY	XY	Xibo	EastAsia	China	43.5	81.5	51.54	R11b	O3a2c
ERS1255048	ERR1347664	163	C	LP6005442-DNA_G01	HGDP01179	S_Yi-1	XY	XY	Yi	EastAsia	China	28	103	41.5	F1g	O2a1
ERS1255057	ERR1347673	164	C	LP6005442-DNA_H01	HGDP01188	S_Yi-2	XX	XX	Yi	EastAsia	China	28	103	40.07	B5a1a	..
ERS1255059	ERR1347675	165	C	LP6005442-DNA_H04	lez49	S_Lezgin-1	NA	NA	Lezgin	WestEurasia	Russia	42.1	48.2	40.31	I5	R1b1a2a2a
ERS1042150	ERR1019048,ERR1419100	166	C	LP6005441-DNA_B03	HGDP00660	S_Bougainville-1	XX	XX	Bougainville	Oceania	PapuaNewGuinea	-6	155	41.72	Q1c	..
ERS1042151	ERR1019049,ERR1419089	167	C	LP6005441-DNA_A03	HGDP00656	S_Bougainville-2	XX	XX	Bougainville	Oceania	PapuaNewGuinea	-6	155	38.9	M27c	..
ERS1358088	ERR1395557	168	C	LP6005519-DNA_F06	Dus22	S_Dusun-1	XX	XX	Dusun	Oceania	Brunei	4.7	114.7	50.55	B4a1a	..
ERS1358085	ERR1395554	169	C	LP6005519-DNA_E06	Dus16	S_Dusun-2	XX	XX	Dusun	Oceania	Brunei	4.7	114.7	39.52	B5b1c	..
ERS1358111	ERR1395580	170	C	LP6005592-DNA_H03	NA17385	S_Hawaiian-1	XY	XY	Hawaiian	Oceania	USA	21.3	-157.8	45.55	Y2a1	O1a2
ERS1358077	ERR1395546	171	C	LP6005519-DNA_C06	Igor20	S_Igorot-1	XX	XX	Igorot	Oceania	Philippines	17.1	121	38.4	F3b1	..
ERS1358082	ERR1395551	172	C	LP6005519-DNA_D06	Igor21	S_Igorot-2	XY	XY	Igorot	Oceania	Philippines	17.1	121	45.28	Y2a1	O1a1
ERS1358097	ERR1395566	173	C	LP6005592-DNA_B02	NA17386	S_Maori-1	XY	XY	Maori	Oceania	New Zealand	-41.3	174.5	36.96	B4a1a1	I2a2a1a1b
ERS1042181	ERR1019080,ERR1419107	174	C	LP6005441-DNA_B10	HGDP00550	S_Papuan-1	XX	XX	Papuan	Oceania	PapuaNewGuinea	-4	143	45.12	P1d1	..
ERS1255077	ERR1347693	175	C	LP6005443-DNA_B08	HGDP00553	S_Papuan-10	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	41.65	Q1a	M1a1
ERS1255085	ERR1347701	176	C	LP6005443-DNA_C07	HGDP00555	S_Papuan-11	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	42.21	Q1	K
ERS1255119	ERR1347736	177	C	LP6005443-DNA_G07	HGDP00556	S_Papuan-12	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	44.16	Q1	S
ERS1255095	ERR1347711	178	C	LP6005443-DNA_D08	HGDP00552	S_Papuan-13	XX	XX	Papuan	Oceania	PapuaNewGuinea	-4	143	43.16	Q1b	..
ERS1255102	ERR1347718	179	C	LP6005443-DNA_E08	HGDP00554	S_Papuan-14	XX	XX	Papuan	Oceania	PapuaNewGuinea	-4	143	35.15	Q1a	..
ERS1358135	ERR1395605	180	C	LP6005443-DNA_H07	HGDP00540	S_Papuan-2	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	46.73	Q3a:0	S
ERS1042142	ERR1019040,ERR1419095	181	C	LP6005441-DNA_A10	HGDP00541	S_Papuan-3	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	33.59	Q3a:0	M1
ERS1255101	ERR1347717	182	C	LP6005443-DNA_E07	HGDP00543	S_Papuan-4	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	48.45	P2	S1d
ERS1255094	ERR1347710	183	C	LP6005443-DNA_D07	HGDP00545	S_Papuan-5	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	51.02	Q1a	C2a
ERS1255086	ERR1347702	184	C	LP6005443-DNA_C08	HGDP00547	S_Papuan-6	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	43.9	Q3a1	C2a
ERS1255110	ERR1347727	185	C	LP6005443-DNA_F07	HGDP00548	S_Papuan-7	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	48.76	P1d	M1
ERS1255069	ERR1347685	186	C	LP6005443-DNA_A08	HGDP00549	S_Papuan-8	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	45.06	Q1a	M1
ERS1255111	ERR1347728	187	C	LP6005443-DNA_F08	HGDP00551	S_Papuan-9	XY	XY	Papuan	Oceania	PapuaNewGuinea	-4	143	43.06	P1	K
ERS1042137	ERR1019035,ERR1419120	188	C	LP6005441-DNA_D01	HGDP00090	S_Balochi-1	XY	XY	Balochi	SouthAsia	Pakistan	30.5	66.5	42.69	M5a2a	E1b1b1a1c
ERS1042182	ERR1019081,ERR1419110	189	C	LP6005441-DNA_C01	HGDP00058	S_Balochi-2	XY	XY	Balochi	SouthAsia	Pakistan	..	..	42.88	M3a1	L1c
ERS1255053	ERR1347669	190	C	LP6005442-DNA_G09	HG03006	S_Bengali-1	XY	XY	Bengali	SouthAsia	Bangladesh	23.7	90.4	44	M5a	J2b2
ERS1255060	ERR1347676	191	C	LP6005442-DNA_H09	HG03007	S_Bengali-2	XX	XX	Bengali	SouthAsia	Bangladesh	23.7	90.4	34.11	M2b1	..
ERS1358090	ERR1395559	192	C	LP6005519-DNA_G03	B11	S_Brahmin-1	XY	XY	Brahmin	SouthAsia	India	17.7	83.3	51.5	J1d	R2a1
ERS1358092	ERR1395561	193	C	LP6005519-DNA_H03	B17	S_Brahmin-2	XY	XY	Brahmin	SouthAsia	India	17.7	83.3	36.11	M2b1	J2a2a
ERS1042152	ERR1019050,ERR1419122	194	C	LP6005441-DNA_D03	HGDP00027	S_Brahui-1	XY	XY	Brahui	SouthAsia	Pakistan	30.5	66.5	38	H1	R1a1a1b2a1a
ERS1042153	ERR1019051,ERR1419112	195	C	LP6005441-DNA_C03	HGDP00019	S_Brahui-2	XY	XY	Brahui	SouthAsia	Pakistan	30.5	66.5	35.21	U7a3	O3a1c1
ERS1042242	ERR1025616,ERR1419133	196	C	LP6005441-DNA_E03	HGDP00428	S_Burusho-1	XY	XY	Burusho	SouthAsia	Pakistan	36.5	74	42.2	C4:0	H1
ERS1042154	ERR1019052,ERR1419142	197	C	LP6005441-DNA_F03	HGDP00338	S_Burusho-2	XX	XX	Burusho	SouthAsia	Pakistan	36.5	74	41.23	U7a2	..
ERS1042251	ERR1025625,ERR1419143	198	C	LP6005441-DNA_F05	HGDP00124	S_Hazara-1	XY	XY	Hazara	SouthAsia	Pakistan	33.5	70	63.62	HV	O3a1c1
ERS1042252	ERR1025626,ERR1419134	199	C	LP6005441-DNA_E05	HGDP00125	S_Hazara-2	XY	XY	Hazara	SouthAsia	Pakistan	33.5	70	65.99	M3a1	C3f1
ERS1358076	ERR1395545	200	C	LP6005519-DNA_C05	I1	S_Irula-1	XY	XY	Irula	SouthAsia	India	13.5	80	49.7	M4'67:0	R2a
ERS1358081	ERR1395550	201	C	LP6005519-DNA_D05	I3	S_Irula-2	XY	XY	Irula	SouthAsia	India	13.5	80	52.55	M4'67:0	L1c
ERS1042259	ERR1025633,ERR1419135	202	C	LP6005441-DNA_E06	HGDP00328	S_Kalash-1	XY	XY	Kalash	SouthAsia	Pakistan	36	71.5	37.12	U2e1	H1
ERS1042260	ERR1025634,ERR1419144	203	C	LP6005441-DNA_F06	HGDP00286	S_Kalash-2	XX	XX	Kalash	SouthAsia	Pakistan	36	71.5	34.65	R0a	..
ERS1358138	ERR1395608	204	C	LP6005519-DNA_A04	K1	S_Kapu-1	XY	XY	Kapu	SouthAsia	India	17.7	83.3	51.14	M35a1	H1
ERS1358141	ERR1395611	205	C	LP6005519-DNA_B04	K4	S_Kapu-2	XY	XY	Kapu	SouthAsia	India	17.7	83.3	52.32	M35b:0	L1a
ERS1358084	ERR1395553	206	C	LP6005519-DNA_E05	KD4	S_Khonda_Dora-1	XY	XY	Khonda_Dora	SouthAsia	India	18.3	82.9	49.29	M2a1	O2a1
ERS1255087	ERR1347703	207	C	LP6005443-DNA_C09	Kusunda02	S_Kusunda-1	XY	XY	Kusunda	SouthAsia	Nepal	28.07245287	82.48778	37.2	U2c	H2b
ERS1255096	ERR1347712	208	C	LP6005443-DNA_D09	Kusunda15	S_Kusunda-2	XY	XY	Kusunda	SouthAsia	Nepal	28.07245287	84.259486	39.77	M5c2	H2b
ERS1358091	ERR1395560	209	C	LP6005519-DNA_G04	M4	S_Madiga-1	XY	XY	Madiga	SouthAsia	India	17.7	83.3	47.02	HV14	R2a
ERS1358093	ERR1395562	210	C	LP6005519-DNA_H04	M13	S_Madiga-2	XY	XY	Madiga	SouthAsia	India	17.7	83.3	48.95	M49d	J2b2
ERS1042160	ERR1019058,ERR1419115	211	C	LP6005441-DNA_C07	HGDP00160	S_Makrani-1	XY	XY	Makrani	SouthAsia	Pakistan	26	64	42.97	L2a1a2	J2a1h2
ERS1042161	ERR1019059,ERR1419126	212	C	LP6005441-DNA_D07	HGDP00157	S_Makrani-2	XX	XX	Makrani	SouthAsia	Pakistan	26	64	41	M4	..
ERS1358083	ERR1395552	213	C	LP6005519-DNA_E04	ML2	S_Mala-2	XY	XY	Mala	SouthAsia	India	17.7	83.3	48.87	M41a	R1a1a1b2a1a
ERS1358087	ERR1395556	214	C	LP6005519-DNA_F04	ML3	S_Mala-3	XY	XY	Mala	SouthAsia	India	17.7	83.3	47.5	R5a2	F
ERS1042165	ERR1019064,ERR1419118	215	C	LP6005441-DNA_C10	HGDP00216	S_Pathan-1	XY	XY	Pathan	SouthAsia	Pakistan	33.5	70.5	40.08	J1d	R1a1a1b2a1a1
ERS1042166	ERR1019065,ERR1419129	216	C	LP6005441-DNA_D10	HGDP00232	S_Pathan-2	XX	XX	Pathan	SouthAsia	Pakistan	33.5	70.5	42.16	U7a	..
ERS1358099	ERR1395568	217	C	LP6005592-DNA_B04	HG02724	S_Punjabi-1	XY	XY	Punjabi	SouthAsia	Pakistan	31.5	74.3	34.65	U7b	J2a1
ERS1042289	ERR1025663,ERR1419177	218	C	LP6005442-DNA_A12	HG02783	S_Punjabi-2	XY	XY	Punjabi	SouthAsia	Pakistan	31.5	74.3	38.93	M5a1b	R2a1
ERS1042290	ERR1025664,ERR1419185	219	C	LP6005442-DNA_B12	HG02790	S_Punjabi-3	XX	XX	Punjabi	SouthAsia	Pakistan	31.5	74.3	33.86	R31a	..
ERS1358095	ERR1395564	220	C	LP6005592-DNA_A04	HG02494	S_Punjabi-4	XX	XX	Punjabi	SouthAsia	Pakistan	31.5	74.3	34.69	U7a3	..
ERS1358139	ERR1395609	221	C	LP6005519-DNA_A05	R3	S_Relli-1	XY	XY	Relli	SouthAsia	India	17.7	83.3	46.13	M52b	R1a1a1b2a1a1
ERS1358142	ERR1395612	222	C	LP6005519-DNA_B05	R6	S_Relli-2	XY	XY	Relli	SouthAsia	India	17.7	83.3	48.96	U2c1	H1
ERS1042274	ERR1025648,ERR1419159	223	C	LP6005441-DNA_G11	HGDP00208	S_Sindhi-1	XY	XY	Sindhi	SouthAsia	Pakistan	25.5	69	39.87	M30f	R1a1a1b2a1a1
ERS1042275	ERR1025649,ERR1419169	224	C	LP6005441-DNA_H11	HGDP00195	S_Sindhi-2	XX	XX	Sindhi	SouthAsia	Pakistan	25.5	69	38.9	R5a2a	..
ERS1358145	ERR1395615	225	C	LP6005519-DNA_C04	Y4	S_Yadava-1	XY	XY	Yadava	SouthAsia	India	17.7	83.3	55	M30c	H2b
ERS1358080	ERR1395549	226	C	LP6005519-DNA_D04	Y8	S_Yadava-2	XY	XY	Yadava	SouthAsia	India	17.7	83.3	49.88	M2a1	H2b
ERS1042234	ERR1025608,ERR1419186	227	C	LP6005442-DNA_C02	abh107	S_Abkhasian-1	XY	XY	Abkhasian	WestEurasia	Abkhazia	43	41	37.58	U1a1	G
ERS1042235	ERR1025609,ERR1419191	228	C	LP6005442-DNA_D02	abh100	S_Abkhasian-2	XY	XY	Abkhasian	WestEurasia	Russia	43	41	38.86	H	J2a1b
ERS1042143	ERR1019041,ERR1419088	229	C	LP6005441-DNA_A01	HGDP01402	S_Adygei-1	XY	XY	Adygei	WestEurasia	Russia(Caucasus)	44	39	41.57	U1a1	R1a1a1b1a1b1
ERS1042144	ERR1019042,ERR1419098	230	C	LP6005441-DNA_B01	HGDP01401	S_Adygei-2	XX	XX	Adygei	WestEurasia	Russia(Caucasus)	44	39	35.33	H3am	..
ERS1358116	ERR1395585	231	C	LP6005677-DNA_B01	ALB212	S_Albanian-1	XX	XX	Albanian	WestEurasia	Albania	41.3	19.8	36.15	H9a	..
ERS1255049	ERR1347665	232	C	LP6005442-DNA_G02	armenia293	S_Armenian-1	XY	XY	Armenian	WestEurasia	Armenia	40.2	44.5	39.89	X2i	J2a1h2
ERS1358086	ERR1395555	233	C	LP6005519-DNA_F03	Armenian222	S_Armenian-2	XY	XY	Armenian	WestEurasia	Armenia	40.2	44.5	45.36	T1	R1b1a2a2a
ERS1042147	ERR1019045,ERR1419111	234	C	LP6005441-DNA_C02	HGDP01364	S_Basque-1	XY	XY	Basque	WestEurasia	France	43	0	41.85	H1e1a	R1b1a2a1a2a1a1a
ERS1042148	ERR1019046,ERR1419121	235	C	LP6005441-DNA_D02	HGDP01365	S_Basque-2	XX	XX	Basque	WestEurasia	France	43	0	38.49	H2a5a1a	..
ERS1042237	ERR1025611,ERR1419132	236	C	LP6005441-DNA_E02	HGDP00616	S_BedouinB-1	XY	XY	BedouinB	WestEurasia	Israel(Negev)	31	35	43.86	R0a2c	J1b2b
ERS1042149	ERR1019047,ERR1419141	237	C	LP6005441-DNA_F02	HGDP00650	S_BedouinB-2	XX	XX	BedouinB	WestEurasia	Israel(Negev)	31	35	42.04	T2c	..
ERS1042183	ERR1019082,ERR1419092	238	C	LP6005441-DNA_A06	HGDP01153	S_Bergamo-1	XY	XY	Bergamo	WestEurasia	Italy(Bergamo)	..	..	68.6	H3:3	I2a2b
ERS1042138	ERR1019036,ERR1419103,ERR1625860	239	C	LP6005441-DNA_B06	HGDP01172	S_Bergamo-2	XX	XX	Bergamo	WestEurasia	Italy(Bergamo)	46	10	80.02	HV0:0	..
ERS1042240	ERR1025614,ERR1419172	240	C	LP6005442-DNA_A03	BulgarianB4	S_Bulgarian-1	XY	XY	Bulgarian	WestEurasia	Bulgaria	42.2	24.7	42.71	H9a	J2b2a1a
ERS1042241	ERR1025615,ERR1419180	241	C	LP6005442-DNA_B03	BulgarianC1	S_Bulgarian-2	XY	XY	Bulgarian	WestEurasia	Bulgaria	42.2	24.7	37.52	H1	E1b1b1a1b
ERS1042225	ERR1025599,ERR1419192	242	C	LP6005442-DNA_D03	ch113	S_Chechen-1	XY	XY	Chechen	WestEurasia	Russia	43.3	45.7	43.16	N9a3	J1
ERS1042121	ERR1395604	243	C	LP6005443-DNA_H05	NA15728	S_Czech-2	XY	XY	Czech	WestEurasia	Czechoslovia(pre1989)	50.1	14.4	49.74	T2e	J1b2
ERS1255088	ERR1347704	244	C	LP6005443-DNA_D01	HGDP00569	S_Druze-1	XX	XX	Druze	WestEurasia	Israel(Carmel)	32	35	50.2	K1a6	..
ERS1042245	ERR1025619,ERR1419152	245	C	LP6005441-DNA_G04	HGDP00597	S_Druze-2	XY	XY	Druze	WestEurasia	Israel(Carmel)	32	35	44.56	H33b	J1b2b
ERS1042246	ERR1025620,ERR1419199	246	C	LP6005442-DNA_E10	HG00126	S_English-1	XY	XY	English	WestEurasia	England	51.2	0.7	41.37	H23	R1b1a2a1a2a1b1a
ERS1255045	ERR1347661	247	C	LP6005442-DNA_F10	HG00128	S_English-2	XX	XX	English	WestEurasia	England	51.2	0.7	45.54	K2b1	..
ERS1255058	ERR1347674	248	C	LP6005442-DNA_H03	Est375	S_Estonian-1	XY	XY	Estonian	WestEurasia	Estonia	58.5	24.9	38.39	U4b1a1a1	N1c1a1a1b
ERS1255050	ERR1347666	249	C	LP6005442-DNA_G03	Est400	S_Estonian-2	XY	XY	Estonian	WestEurasia	Estonia	58.5	24.9	35.24	H1a	N1c1a1a1a
ERS1042285	ERR1025659,ERR1419195	250	C	LP6005442-DNA_D10	HG00174	S_Finnish-1	XX	XX	Finnish	WestEurasia	Finland	60.2	24.9	38.85	U5b1b2	..
ERS1042286	ERR1025660,ERR1346534,ERR1625859	251	C	LP6005442-DNA_C10	HG00190	S_Finnish-2	XY	XY	Finnish	WestEurasia	Finland	60.2	24.9	35.22	H7a1a	I1a1b5
ERS1358094	ERR1395563	252	C	LP6005592-DNA_A02	HG00360	S_Finnish-3	XY	XY	Finnish	WestEurasia	Finland	60.2	24.9	45.6	H2a1	I2a1b3a
ERS1042155	ERR1019053,ERR1419091	253	C	LP6005441-DNA_A05	HGDP00530	S_French-1	XY	XY	French	WestEurasia	France	46	2	44.26	H1aq	J2a1b1
ERS1042156	ERR1019054,ERR1419102	254	C	LP6005441-DNA_B05	HGDP00526	S_French-2	XX	XX	French	WestEurasia	France	46	2	40.2	H1c	..
ERS1042249	ERR1025623,ERR1419181	255	C	LP6005442-DNA_B04	mg27	S_Georgian-1	XY	XY	Georgian	WestEurasia	Georgia	42.5	41.9	42.73	U4a2	G
ERS1042250	ERR1025624,ERR1419173	256	C	LP6005442-DNA_A04	mg31	S_Georgian-2	XY	XY	Georgian	WestEurasia	Georgia	42.5	41.9	33.95	U4a2	J2a
ERS1255052	ERR1347668	257	C	LP6005442-DNA_G07	NA17377	S_Greek-1	XY	XY	Greek	WestEurasia	Greece	38	23.7	37.73	H11a	E1b1b1a1b
ERS1255067	ERR1347683	258	C	LP6005443-DNA_A06	NA17374	S_Greek-2	XY	XY	Greek	WestEurasia	Greece	38	23.7	45.48	H28	G
ERS1042255	ERR1025629,ERR1419182	259	C	LP6005442-DNA_B08	NA15203	S_Hungarian-1	XX	XX	Hungarian	WestEurasia	Hungary	47.5	19.1	40.05	J1c7a	..
ERS1042256	ERR1025630,ERR1419174	260	C	LP6005442-DNA_A08	NA15202	S_Hungarian-2	XY	XY	Hungarian	WestEurasia	Hungary	47.5	19.1	40.73	H49a1	I1a2a1a
ERS1042257	ERR1025631,ERR1419193	261	C	LP6005442-DNA_D08	NA15761	S_Icelandic-1	XX	XX	Icelandic	WestEurasia	Iceland	64.1	-21.9	38.34	K1c2	..
ERS1255075	ERR1347691	262	C	LP6005443-DNA_B06	NA15763	S_Icelandic-2	XX	XX	Icelandic	WestEurasia	Iceland	64.1	-21.9	49.25	H2a2a2	..
ERS1042258	ERR1025632,ERR1419187	263	C	LP6005442-DNA_C04	iran17	S_Iranian-1	XY	XY	Iranian	WestEurasia	Iran	35.6	51.5	38.65	J1b	Q1b1a
ERS1255079	ERR1347695	264	C	LP6005443-DNA_B10	iran11	S_Iranian-2	XY	XY	Iranian	WestEurasia	Iran	35.6	51.5	45.78	H1:0	E1b1b1a1c
ERS1358107	ERR1395576	265	C	LP6005592-DNA_F01	IraqiJew1771	S_Iraqi_Jew-1	XX	XX	Iraqi_Jew	WestEurasia	Iraq	33.3	44.4	41.9	U2e3	..
ERS1358150	ERR1395620	266	C	LP6005592-DNA_E01	IraqiJew4291	S_Iraqi_Jew-2	XY	XY	Iraqi_Jew	WestEurasia	Iraq	33.3	44.4	46.39	J1b2	J1b2b
ERS1358109	ERR1395578	267	C	LP6005592-DNA_G03	Jordan445	S_Jordanian-1	XY	XY	Jordanian	WestEurasia	Jordan	32.1	35.9	46.13	HV1c	J2a
ERS1255043	ERR1347659	268	C	LP6005442-DNA_F04	Jordan603	S_Jordanian-2	XY	XY	Jordanian	WestEurasia	Jordan	32.1	35.9	36.71	H1:0	J1b2b
ERS1042287	ERR1025661,ERR1419197	269	C	LP6005442-DNA_E04	Jordan214	S_Jordanian-3	XY	XY	Jordanian	WestEurasia	Jordan	32.1	35.9	39.5	H14b	T1a1a1a
ERS1255051	ERR1347667	270	C	LP6005442-DNA_G04	lez42	S_Lezgin-2	XY	XY	Lezgin	WestEurasia	Russia	42.1	48.2	40.22	U5a1b1	R1b1a2a2a
ERS1255104	ERR1347720	271	C	LP6005443-DNA_E10	NorthOssetia12	S_North_Ossetian-1	XY	XY	North_Ossetian	WestEurasia	Russia	43	44.7	43.13	HV12a	J2a
ERS1255112	ERR1347729	272	C	LP6005443-DNA_F10	NorthOssetia5	S_North_Ossetian-2	XY	XY	North_Ossetian	WestEurasia	Russia	43	44.7	46.29	H4a1	J2a1b
ERS1358096	ERR1395565	273	C	LP6005592-DNA_B01	NOR111	S_Norwegian-1	XX	XX	Norwegian	WestEurasia	Norway	..	..	49.55	H11a2a2	..
ERS1042163	ERR1019062,ERR1419117	274	C	LP6005441-DNA_C09	HGDP00798	S_Orcadian-1	XY	XY	Orcadian	WestEurasia	OrkneyIslands	59	-3	40.22	H23	R1b1a2a1a1b1a1
ERS1042164	ERR1019063,ERR1419128	275	C	LP6005441-DNA_D09	HGDP00796	S_Orcadian-2	XX	XX	Orcadian	WestEurasia	OrkneyIslands	59	-3	39.79	T1a1	..
ERS1358098	ERR1395567	276	C	LP6005592-DNA_B03	HGDP00722	S_Palestinian-1	XY	XY	Palestinian	WestEurasia	Israel(Central)	32	35	45.9	N1b1	E1b1b1a1c3
ERS1042288	ERR1025662,ERR1419157	277	C	LP6005441-DNA_G09	HGDP00725	S_Palestinian-2	XX	XY	Palestinian	WestEurasia	Israel(Central)	32	35	41.82	U6a3	..
ERS1042233	ERR1025607,ERR1419167	278	C	LP6005441-DNA_H09	HGDP00737	S_Palestinian-3	XX	XX	Palestinian	WestEurasia	Israel(Central)	32	35	40.27	H	..
ERS1358106	ERR1395575	279	C	LP6005592-DNA_E02	ND15865	S_Polish-1	XY	XY	Polish	WestEurasia	Poland	52.2	21	47.88	H:1	R1b1a2a2a
ERS1042231	ERR1025605,ERR1419158	280	C	LP6005441-DNA_G10	HGDP00887	S_Russian-1	XY	XY	Russian	WestEurasia	Russia	61	40	39.38	H1b2	I2a1b3a
ERS1042232	ERR1025606,ERR1419168	281	C	LP6005441-DNA_H10	HGDP00903	S_Russian-2	XX	XX	Russian	WestEurasia	Russia	61	40	39.17	J1b1a1	..
ERS1358100	ERR1395569	282	C	LP6005592-DNA_C01	Utsa21	S_Saami-1	XX	XX	Saami	WestEurasia	Finland	69.9	27	50.08	V7a1	..
ERS1358146	ERR1395616	283	C	LP6005592-DNA_D01	Utsa22	S_Saami-2	XY	XY	Saami	WestEurasia	Finland	69.9	27	45.02	U5b1b1a	N1c1a1a2a
ERS1358105	ERR1395574	284	C	LP6005592-DNA_D04	Sam02	S_Samaritan-1	XY	XY	Samaritan	WestEurasia	Israel	32.2	35.3	41.64	U7b	J2a1b
ERS1042169	ERR1019068,ERR1419119	285	C	LP6005441-DNA_C11	HGDP01079	S_Sardinian-1	XY	XY	Sardinian	WestEurasia	Italy(Sardinia)	40	9	36.38	U5b1:0:0	J1b2b
ERS1042170	ERR1019069,ERR1419130	286	C	LP6005441-DNA_D11	HGDP01078	S_Sardinian-2	XX	XX	Sardinian	WestEurasia	Italy(Sardinia)	40	9	34.77	H1b	..
ERS1042276	ERR1025650,ERR1419176	287	C	LP6005442-DNA_A11	HG01503	S_Spanish-1	XY	XY	Spanish	WestEurasia	Spain	39.9	-4	35.67	H1z	R1b1a2a1a2c1f2
ERS1042277	ERR1025651,ERR1419184	288	C	LP6005442-DNA_B11	HG01504	S_Spanish-2	XX	XX	Spanish	WestEurasia	Spain	39.9	-4	42.97	H1t	..
ERS1358144	ERR1395614	289	C	LP6005519-DNA_C03	tdj409_shugnan	S_Tajik-1	XY	XY	Tajik	WestEurasia	Tajikistan	37.6	71.5	52.48	H2b	L1c
ERS1358079	ERR1395548	290	C	LP6005519-DNA_D03	tdj430_shugnan	S_Tajik-2	XY	XY	Tajik	WestEurasia	Tajikistan	37.6	71.5	46.64	H15a1a	L1c
ERS1358118	ERR1395587	291	C	LP6005677-DNA_C03	Kayseri23827	S_Turkish-1	XY	XY	Turkish	WestEurasia	Turkey	38.7	35.5	44.86	X2f	R1b1a2a1a2c1g
ERS1358115	ERR1395584	292	C	LP6005677-DNA_A03	Kayseri24424	S_Turkish-2	XX	XX	Turkish	WestEurasia	Turkey	38.7	35.5	44.31	K1a4c1	..
ERS1042279	ERR1025653,ERR1419170	293	C	LP6005441-DNA_H12	HGDP01168	S_Tuscan-1	XX	XX	Tuscan	WestEurasia	Italy(Tuscany)	43	11	39.71	U5a2a1	..
ERS1042280	ERR1025654,ERR1419160	294	C	LP6005441-DNA_G12	HGDP01163	S_Tuscan-2	XY	XY	Tuscan	WestEurasia	Italy(Tuscany)	43	11	41.41	K1a1b1e	J2a1b1
ERS1358110	ERR1395579	295	C	LP6005592-DNA_H01	YemeniteJew4695	S_Yemenite_Jew-1	XX	XX	Yemenite_Jew	WestEurasia	Yemen	15.4	44.2	51.6	H13a2b3	..
ERS1358151	ERR1395621	296	C	LP6005592-DNA_G01	YemeniteJew5433	S_Yemenite_Jew-2	XY	XY	Yemenite_Jew	WestEurasia	Yemen	15.4	44.2	55.85	J2a2	T1a1a1
NA	NA	297	C	LP6005592-DNA_F05	ADR2	T_Sherpa-2	XX	XX	Sherpa	SouthAsia	Nepal	27.8	86.7	48.89	C4a3b	..
NA	NA	298	C	LP6005592-DNA_G05	ADR3	T_Tibetan-1	XX	XX	Tibetan	SouthAsia	Tibet	28.3	84.7	44.17	C4	..
