## Ftp pointers pulled out using the TEXT metainfo at ENA for PRJEB9586 (there are two pointers which is admittedly a little confusing, due to multiple people working on the upload - apologies)
## Additional metainfo added, based on meta data for general download webpage: http://reichdata.hms.harvard.edu/pub/datasets/sgdp/. Hopefully this should make things easier. At some point we should clean up the ENA distribution portal to clarify the separate pointers for different data chunks
# 1-n	2-ena_id	3-Illumina_ID	4-reich_id	5-ena_ftp_bam_ptr	6-Sequencing_Panel	7-Gender	8-Population_ID	9-Contributor	10-Region	11-Country	12-Town	13-Latitude	14-Longitude	15-DNA_Source	16-BioSamples Accession	17-Embargo
81	SAMEA3302802	LP6005443-DNA_D02	S_Yakut-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324308/LP6005443-DNA_D02.srt.aln.bam	C	M	Yakut	Howard Cann	CentralAsiaSiberia	Russia	?	63	129.5	Genomic_from_cell_lines	SAMEA3302802	FullyPublic
82	SAMEA3302869	LP6005441-DNA_F01	S_BantuHerero-2	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019043/LP6005441-DNA_F01.bam	C	M	BantuHerero	Howard Cann	Africa	BotswanaOrNamibia	?	-22	19	Genomic_from_cell_lines	SAMEA3302869	FullyPublic
83	SAMEA3302727	LP6005443-DNA_E02	S_BantuHerero-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324317/LP6005443-DNA_E02.srt.aln.bam	C	M	BantuHerero	Howard Cann	Africa	BotswanaOrNamibia	?	-22	19	Genomic_from_cell_lines	SAMEA3302727	FullyPublic
84	SAMEA3302841	LP6005441-DNA_B03	S_Bougainville-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312775/LP6005441-DNA_B03.srt.aln.bam	C	F	Bougainville	Howard Cann	Oceania	PapuaNewGuinea	Bougainville_Island	-6	155	Genomic_from_cell_lines	SAMEA3302841	FullyPublic
85	SAMEA3302636	LP6005441-DNA_A03	S_Bougainville-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312768/LP6005441-DNA_A03.srt.aln.bam	C	F	Bougainville	Howard Cann	Oceania	PapuaNewGuinea	Bougainville_Island	-6	155	Genomic_from_cell_lines	SAMEA3302636	FullyPublic
86	SAMEA3302891	LP6005443-DNA_C06	S_Korean-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324303/LP6005443-DNA_C06.srt.aln.bam	C	F	Korean	Coriell	EastAsia	Korea	Cell_line_repository_sampling_location_unknown	37.6	127	Genomic_from_cell_lines	SAMEA3302891	FullyPublic
87	SAMEA3302745	LP6005442-DNA_E07	S_Atayal-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125662/srt.aln.bam	C	M	Atayal	Coriell	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	24.611712	121.296444	Genomic_from_cell_lines	SAMEA3302745	FullyPublic
88	SAMEA3302651	LP6005592-DNA_A02	S_Finnish-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324375/LP6005592-DNA_A02.srt.aln.bam	C	M	Finnish	1KG	WestEurasia	Finland	?	60.2	24.9	Genomic_from_cell_lines	SAMEA3302651	FullyPublic
89	SAMEA3302751	LP6005442-DNA_C10	S_Finnish-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312846/LP6005442-DNA_C10.srt.aln.bam	C	M	Finnish	1KG	WestEurasia	Finland	?	60.2	24.9	Genomic_from_cell_lines	SAMEA3302751	FullyPublic
90	SAMEA3302711	LP6005442-DNA_D10	S_Finnish-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125659/srt.aln.bam	C	F	Finnish	1KG	WestEurasia	Finland	?	60.2	24.9	Genomic_from_cell_lines	SAMEA3302711	FullyPublic
91	SAMEA3302659	LP6005441-DNA_A08	S_Mbuti-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324875/LP6005441-DNA_A08.srt.aln.bam	C	M	Mbuti	Howard Cann	Africa	Congo	?	1	29	Genomic_from_cell_lines	SAMEA3302659	FullyPublic
92	SAMEA3302634	LP6005592-DNA_H01	S_Yemenite_Jew-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324394/LP6005592-DNA_H01.srt.aln.bam	C	F	Yemenite_Jew	Tel-Aviv University	WestEurasia	Yemen	Cell_line_repository	15.4	44.2	Genomic_from_cell_lines	SAMEA3302634	FullyPublic
93	SAMEA3302769	LP6005592-DNA_C03	S_Mbuti-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324383/LP6005592-DNA_C03.srt.aln.bam	C	M	Mbuti	Howard Cann	Africa	Congo	?	1	29	Genomic_from_cell_lines	SAMEA3302769	FullyPublic
94	SAMEA3302796	LP6005443-DNA_E11	S_Mixe-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324324/LP6005443-DNA_E11.srt.aln.bam	C	F	Mixe	William Klitz / Cheryl Winkler	America	Mexico	"Tmazulapan, Mixe"	16.95	-96.58	Genomic_from_cell_lines	SAMEA3302796	FullyPublic
95	SAMEA3302723	LP6005443-DNA_F11	S_Mixe-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324333/LP6005443-DNA_F11.srt.aln.bam	C	F	Mixe	William Klitz / Cheryl Winkler	America	Mexico	"Tamazulapan, Mixe"	16.95	-96.58	Genomic_from_cell_lines	SAMEA3302723	FullyPublic
96	SAMEA3302761	LP6005441-DNA_F06	S_Kalash-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312810/LP6005441-DNA_F06.srt.aln.bam	C	F	Kalash	Howard Cann	SouthAsia	Pakistan	?	36	71.5	Genomic_from_cell_lines	SAMEA3302761	FullyPublic
97	SAMEA3302754	LP6005441-DNA_E06	S_Kalash-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312802/LP6005441-DNA_E06.srt.aln.bam	C	M	Kalash	Howard Cann	SouthAsia	Pakistan	?	36	71.5	Genomic_from_cell_lines	SAMEA3302754	FullyPublic
98	SAMEA3302699	LP6005592-DNA_E02	S_Polish-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324389/LP6005592-DNA_E02.srt.aln.bam	C	M	Polish	Coriell	WestEurasia	Poland	Cell_line_repository_sampling_location_unknown	52.2	21	Genomic_from_cell_lines	SAMEA3302699	FullyPublic
99	SAMEA3302746	LP6005443-DNA_E08	S_Papuan-14	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324321/LP6005443-DNA_E08.srt.aln.bam	C	F	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302746	FullyPublic
100	SAMEA3302793	LP6005442-DNA_H01	S_Yi-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324277/LP6005442-DNA_H01.srt.aln.bam	C	F	Yi	Howard Cann	EastAsia	China	?	28	103	Genomic_from_cell_lines	SAMEA3302793	FullyPublic
101	SAMEA3302772	LP6005443-DNA_B08	S_Papuan-10	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324297/LP6005443-DNA_B08.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302772	FullyPublic
102	SAMEA3302643	LP6005443-DNA_C07	S_Papuan-11	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324304/LP6005443-DNA_C07.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302643	FullyPublic
103	SAMEA3302622	LP6005443-DNA_G07	S_Papuan-12	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324339/LP6005443-DNA_G07.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302622	FullyPublic
104	SAMEA3302700	LP6005443-DNA_D08	S_Papuan-13	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324314/LP6005443-DNA_D08.srt.aln.bam	C	F	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302700	FullyPublic
105	SAMEA3302797	LP6005443-DNA_E10	S_North_Ossetian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324323/LP6005443-DNA_E10.srt.aln.bam	C	M	North_Ossetian	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Russia	Vladikavkaz in Republic of North Ossetia_Alania	43.017	44.65	Genomic_from_blood	SAMEA3302797	FullyPublic
106	SAMEA3302698	LP6005443-DNA_F10	S_North_Ossetian-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324332/LP6005443-DNA_F10.srt.aln.bam	C	M	North_Ossetian	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Russia	Vladikavkaz in Republic of North Ossetia_Alania	43.017	44.65	Genomic_from_blood	SAMEA3302698	FullyPublic
107	SAMEA3302843	LP6005442-DNA_G04	S_Lezgin-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324271/LP6005442-DNA_G04.srt.aln.bam	C	M	Lezgin	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Russia	Dagestanskiye_Ogni_in_Dagestan	42.117	48.183	Genomic_from_blood	SAMEA3302843	FullyPublic
108	SAMEA3302664	LP6005442-DNA_H04	S_Lezgin-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324279/LP6005442-DNA_H04.srt.aln.bam	C	M	Lezgin	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Russia	Dagestanskiye_Ogni_in_Dagestan	42.117	48.183	Genomic_from_blood	SAMEA3302664	FullyPublic
109	SAMEA3449878	LP6005443-DNA_C01	S_Daur-1	ftp.sra.ebi.ac.uk/vol1/ERZ325/ERZ325059/LP6005443-DNA_C01.srt.aln.bam	C	U	Daur	Howard Cann	EastAsia	China	?	48.5	124	Genomic_from_cell_lines	SAMEA3449878	FullyPublic
110	SAMEA3302856	LP6005443-DNA_G03	S_Eskimo_Naukan-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324336/LP6005443-DNA_G03.srt.aln.bam	C	F	Eskimo_Naukan	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Big Diomide Island, Chukchi Peninsula"	66.02	169.71	Genomic_from_blood	SAMEA3302856	FullyPublic
111	SAMEA3302778	LP6005443-DNA_D06	S_Korean-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324312/LP6005443-DNA_D06.srt.aln.bam	C	M	Korean	Coriell	EastAsia	Korea	Cell_line_repository_sampling_location_unknown	37.6	127	Genomic_from_cell_lines	SAMEA3302778	FullyPublic
112	SAMEA3302804	LP6005441-DNA_C05	S_Han-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312783/LP6005441-DNA_C05.srt.aln.bam	C	M	Han	Howard Cann	EastAsia	China	?	32.3	114	Genomic_from_cell_lines	SAMEA3302804	FullyPublic
113	SAMEA3302770	LP6005441-DNA_D05	S_Han-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312793/LP6005441-DNA_D05.srt.aln.bam	C	F	Han	Howard Cann	EastAsia	China	?	32.3	114	Genomic_from_cell_lines	SAMEA3302770	FullyPublic
114	SAMEA3302824	LP6005441-DNA_D12	S_Tu-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324874/LP6005441-DNA_D12.srt.aln.bam	C	F	Tu	Howard Cann	EastAsia	China	?	36	101	Genomic_from_cell_lines	SAMEA3302824	FullyPublic
115	SAMEA3302909	LP6005443-DNA_H01	S_Tu-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324342/LP6005443-DNA_H01.srt.aln.bam	C	M	Tu	Howard Cann	EastAsia	China	?	36	101	Genomic_from_cell_lines	SAMEA3302909	FullyPublic
116	SAMEA3302671	LP6005443-DNA_C08	S_Papuan-6	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324305/LP6005443-DNA_C08.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302671	FullyPublic
117	SAMEA3302704	LP6005443-DNA_F07	S_Papuan-7	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324330/LP6005443-DNA_F07.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302704	FullyPublic
118	SAMEA3302626	LP6005443-DNA_E07	S_Papuan-4	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324320/LP6005443-DNA_E07.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302626	FullyPublic
119	SAMEA3302657	LP6005443-DNA_D07	S_Papuan-5	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324313/LP6005443-DNA_D07.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302657	FullyPublic
120	SAMEA3302871	LP6005443-DNA_H07	S_Papuan-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324346/LP6005443-DNA_H07.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302871	FullyPublic
121	SAMEA3302892	LP6005441-DNA_A10	S_Papuan-3	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312771/LP6005441-DNA_A10.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302892	FullyPublic
122	SAMEA3302738	LP6005441-DNA_B10	S_Papuan-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324876/LP6005441-DNA_B10.srt.aln.bam	C	F	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302738	FullyPublic
123	SAMEA3302726	LP6005443-DNA_A08	S_Papuan-8	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324289/LP6005443-DNA_A08.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302726	FullyPublic
124	SAMEA3302806	LP6005443-DNA_D04	S_Itelman-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324310/LP6005443-DNA_D04.srt.aln.bam	C	F	Itelman	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Kovran, Kamchatka"	57	157	Genomic_from_blood	SAMEA3302806	FullyPublic
125	SAMEA3302611	LP6005442-DNA_B01	S_Uygur-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312837/LP6005442-DNA_B01.srt.aln.bam	C	F	Uygur	Howard Cann	EastAsia	China	Yili	44	81	Genomic_from_cell_lines	SAMEA3302611	FullyPublic
126	SAMEA3302818	LP6005443-DNA_B02	S_Uygur-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324292/LP6005443-DNA_B02.srt.aln.bam	C	M	Uygur	Howard Cann	EastAsia	China	Yili	44	81	Genomic_from_cell_lines	SAMEA3302818	FullyPublic
127	SAMEA3302757	LP6005677-DNA_D01	S_Zapotec-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324403/LP6005677-DNA_D01.srt.aln.bam	C	M	Zapotec	William Klitz / Cheryl Winkler	America	Mexico	San Juan Guelavia	16.5	-97.2	Genomic_from_cell_lines	SAMEA3302757	FullyPublic
128	SAMEA3302744	LP6005443-DNA_A12	S_Zapotec-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324290/LP6005443-DNA_A12.srt.aln.bam	C	M	Zapotec	William Klitz / Cheryl Winkler	America	Mexico	San Juan Guelavia	16.5	-97.2	Genomic_from_cell_lines	SAMEA3302744	FullyPublic
129	SAMEA3302619	LP6005441-DNA_A04	S_Piapoco-1	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019066/LP6005441-DNA_A04.bam	C	F	Piapoco	Howard Cann	America	Colombia	?	3	-68	Genomic_from_cell_lines	SAMEA3302619	FullyPublic
130	SAMEA3302669	LP6005441-DNA_B04	S_Piapoco-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312776/LP6005441-DNA_B04.srt.aln.bam	C	F	Piapoco	Howard Cann	America	Colombia	?	3	-68	Genomic_from_cell_lines	SAMEA3302669	FullyPublic
131	SAMEA3302853	LP6005443-DNA_E05	S_Tlingit-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324318/LP6005443-DNA_E05.srt.aln.bam	C	M	Tlingit	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Petropavlovsk-Kamchatski, Commander Islands"	53	158.65	Genomic_from_blood	SAMEA3302853	FullyPublic
132	SAMEA3302889	LP6005443-DNA_D05	S_Tlingit-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324311/LP6005443-DNA_D05.srt.aln.bam	C	F	Tlingit	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Nikolskoye, Commander Islands"	55.18	166	Genomic_from_blood	SAMEA3302889	FullyPublic
133	SAMEA3302721	LP6005443-DNA_F08	S_Papuan-9	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324331/LP6005443-DNA_F08.srt.aln.bam	C	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	NewGuinea	-4	143	Genomic_from_cell_lines	SAMEA3302721	FullyPublic
134	SAMEA3302816	LP6005441-DNA_G02	S_Biaka-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125613/srt.aln.bam	C	M	Biaka	Howard Cann	Africa	Central African Republic	?	4	17	Genomic_from_cell_lines	SAMEA3302816	FullyPublic
135	SAMEA3302673	LP6005441-DNA_H02	S_Biaka-2	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125624/srt.aln.bam	C	M	Biaka	Howard Cann	Africa	Central African Republic	?	4	17	Genomic_from_cell_lines	SAMEA3302673	FullyPublic
136	SAMEA3302817	LP6005443-DNA_F01	S_She-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324325/LP6005443-DNA_F01.srt.aln.bam	C	M	She	Howard Cann	EastAsia	China	?	27	119	Genomic_from_cell_lines	SAMEA3302817	FullyPublic
137	SAMEA3302739	LP6005443-DNA_D01	S_Druze-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324307/LP6005443-DNA_D01.srt.aln.bam	C	F	Druze	Howard Cann	WestEurasia	Israel(Carmel)	?	32	35	Genomic_from_cell_lines	SAMEA3302739	FullyPublic
138	SAMEA3302870	LP6005441-DNA_G04	S_Druze-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312817/LP6005441-DNA_G04.srt.aln.bam	C	M	Druze	Howard Cann	WestEurasia	Israel(Carmel)	?	32	35	Genomic_from_cell_lines	SAMEA3302870	FullyPublic
139	SAMEA3302876	SS6004474	B_Sardinian-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324542/SS6004474.srt.aln.bam	B	M	Sardinian	Howard Cann	WestEurasia	Italy	?	40	9	Genomic_from_cell_lines	SAMEA3302876	FullyPublic
140	SAMEA3302722	LP6005442-DNA_C07	S_Ami-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125651/srt.aln.bam	C	M	Ami	Coriell	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	22.843145	121.185356	Genomic_from_cell_lines	SAMEA3302722	FullyPublic
141	SAMEA3302623	LP6005443-DNA_G05	S_Ami-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324338/LP6005443-DNA_G05.srt.aln.bam	C	M	Ami	Coriell	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	22.843145	121.185356	Genomic_from_cell_lines	SAMEA3302623	FullyPublic
142	SAMEA3302666	SS6004467	B_Dai-4	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324532/SS6004467.srt.aln.bam	B	M	Dai	Howard Cann	EastAsia	China	?	21	100	Genomic_from_cell_lines	SAMEA3302666	FullyPublic
143	SAMEA3302873	LP6005442-DNA_F11	S_Luhya-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324266/LP6005442-DNA_F11.srt.aln.bam	C	F	Luhya	Coriell	Africa	Kenya	Webuye	1.3	36.8	Genomic_from_cell_lines	SAMEA3302873	FullyPublic
144	SAMEA3449876	LP6005441-DNA_A06	S_Bergamo-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312769/LP6005441-DNA_A06.srt.aln.bam	C	M	Bergamo	Howard Cann	WestEurasia	Italy(Bergamo)	?	46	10	Genomic_from_cell_lines	SAMEA3449876	FullyPublic
145	SAMEA3302855	LP6005441-DNA_B06	S_Bergamo-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312778/LP6005441-DNA_B06.srt.aln.bam	C	F	Bergamo	Howard Cann	WestEurasia	Italy(Bergamo)	?	46	10	Genomic_from_cell_lines	SAMEA3302855	FullyPublic
146	SAMEA3302633	LP6005519-DNA_A04	S_Kapu-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324349/LP6005519-DNA_A04.srt.aln.bam	C	M	Kapu	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302633	FullyPublic
147	SAMEA3302839	LP6005519-DNA_B04	S_Kapu-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324352/LP6005519-DNA_B04.srt.aln.bam	C	M	Kapu	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302839	FullyPublic
148	SAMEA3302758	LP6005441-DNA_G12	S_Tuscan-2	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125623/srt.aln.bam	C	M	Tuscan	Howard Cann	WestEurasia	Italy(Tuscany)	?	43	11	Genomic_from_cell_lines	SAMEA3302758	FullyPublic
149	SAMEA3302620	LP6005441-DNA_B09	S_Naxi-3	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312781/LP6005441-DNA_B09.srt.aln.bam	C	F	Naxi	Howard Cann	EastAsia	China	?	26	100	Genomic_from_cell_lines	SAMEA3302620	FullyPublic
150	SAMEA3302776	LP6005441-DNA_A09	S_Naxi-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312770/LP6005441-DNA_A09.srt.aln.bam	C	M	Naxi	Howard Cann	EastAsia	China	?	26	100	Genomic_from_cell_lines	SAMEA3302776	FullyPublic
151	SAMEA3302888	LP6005443-DNA_E09	S_Naxi-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324322/LP6005443-DNA_E09.srt.aln.bam	C	M	Naxi	Howard Cann	EastAsia	China	?	26	100	Genomic_from_cell_lines	SAMEA3302888	FullyPublic
152	SAMEA3302632	LP6005442-DNA_A02	S_Yoruba-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312832/LP6005442-DNA_A02.srt.aln.bam	C	M	Yoruba	Howard Cann	Africa	Nigeria	?	7.4	3.9	Genomic_from_cell_lines	SAMEA3302632	FullyPublic
153	SAMEA3302835	LP6005442-DNA_B02	S_Yoruba-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312838/LP6005442-DNA_B02.srt.aln.bam	C	F	Yoruba	Howard Cann	Africa	Nigeria	?	7.4	3.9	Genomic_from_cell_lines	SAMEA3302835	FullyPublic
154	SAMEA3302865	LP6005441-DNA_A12	S_Surui-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312773/LP6005441-DNA_A12.srt.aln.bam	C	F	Surui	Howard Cann	America	Brazil	?	-11	-62	Genomic_from_cell_lines	SAMEA3302865	FullyPublic
155	SAMEA3302830	LP6005441-DNA_B12	S_Surui-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324873/LP6005441-DNA_B12.srt.aln.bam	C	F	Surui	Howard Cann	America	Brazil	?	-11	-62	Genomic_from_cell_lines	SAMEA3302830	FullyPublic
156	SAMEA3302630	LP6005443-DNA_G02	S_BantuTswana-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324335/LP6005443-DNA_G02.srt.aln.bam	C	M	BantuTswana	Howard Cann	Africa	BotswanaOrNamibia	?	-28	24	Genomic_from_cell_lines	SAMEA3302630	FullyPublic
157	SAMEA3302849	LP6005443-DNA_F02	S_BantuTswana-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324326/LP6005443-DNA_F02.srt.aln.bam	C	M	BantuTswana	Howard Cann	Africa	BotswanaOrNamibia	?	-28	24	Genomic_from_cell_lines	SAMEA3302849	FullyPublic
158	SAMEA3302706	LP6005442-DNA_F01	S_Yakut-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324261/LP6005442-DNA_F01.srt.aln.bam	C	F	Yakut	Howard Cann	CentralAsiaSiberia	Russia	?	63	129.5	Genomic_from_cell_lines	SAMEA3302706	FullyPublic
159	SAMEA3302842	LP6005442-DNA_B03	S_Bulgarian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312839/LP6005442-DNA_B03.srt.aln.bam	C	M	Bulgarian	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	WestEurasia	Bulgaria	Plovdiv	42.163	24.741	Genomic_from_blood	SAMEA3302842	FullyPublic
160	SAMEA3302718	LP6005442-DNA_A03	S_Bulgarian-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125635/srt.aln.bam	C	M	Bulgarian	Mait Metspalu / Draga Toncheva / Sena Karachanak-Yankova	WestEurasia	Bulgaria	Plovdiv	42.163	24.741	Genomic_from_blood	SAMEA3302718	FullyPublic
161	SAMEA3302742	LP6005519-DNA_D05	S_Irula-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324362/LP6005519-DNA_D05.srt.aln.bam	C	M	Irula	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	?	13.5	80	Genomic_from_blood	SAMEA3302742	FullyPublic
162	SAMEA3302610	LP6005519-DNA_C05	S_Irula-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324357/LP6005519-DNA_C05.srt.aln.bam	C	M	Irula	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	?	13.5	80	Genomic_from_blood	SAMEA3302610	FullyPublic
163	SAMEA3302795	LP6005441-DNA_F03	S_Burusho-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312808/LP6005441-DNA_F03.srt.aln.bam	C	F	Burusho	Howard Cann	SouthAsia	Pakistan	?	36.5	74	Genomic_from_cell_lines	SAMEA3302795	FullyPublic
164	SAMEA3302798	LP6005441-DNA_E03	S_Burusho-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312800/LP6005441-DNA_E03.srt.aln.bam	C	M	Burusho	Howard Cann	SouthAsia	Pakistan	?	36.5	74	Genomic_from_cell_lines	SAMEA3302798	FullyPublic
165	SAMEA3302787	LP6005443-DNA_G01	S_She-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324334/LP6005443-DNA_G01.srt.aln.bam	C	F	She	Howard Cann	EastAsia	China	?	27	119	Genomic_from_cell_lines	SAMEA3302787	FullyPublic
